emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
41,56,139,605,620,295,54,40
42,58,158,641,623,231,57,39
38,58,176,825,654,222,51,35
36,50,149,775,665,235,54,33
35,52,153,802,627,240,49,30
33,53,161,852,701,230,46,30
32,51,137,819,672,242,52,34
36,51,118,679,644,283,61,42
35,51,131,716,701,304,57,42
33,52,131,673,776,299,60,42
35,50,122,654,790,320,61,43
40,67,148,694,820,328,53,43
41,69,155,655,831,294,49,42
45,71,146,685,806,265,54,42
49,73,143,700,769,265,54,48
49,73,143,724,792,261,56,48
32,51,137,819,672,242,52,34
36,51,118,679,644,283,61,42
35,51,131,716,701,304,57,42
33,52,131,673,776,299,60,42
35,50,122,654,790,320,61,43
40,67,148,694,820,328,53,43
41,69,155,655,831,294,49,42
45,71,146,685,806,265,54,42
49,73,143,700,769,265,54,48
49,73,143,724,792,261,56,48
47,61,125,680,784,252,58,48
42,54,117,727,733,256,54,44
42,62,147,725,782,278,53,45
39,58,156,710,780,284,55,39
38,57,150,643,673,279,51,37
38,60,153,703,670,263,52,32
41,63,162,644,646,260,53,36
43,63,161,653,638,287,56,38
43,63,160,719,638,256,52,38
43,61,157,697,698,249,61,40
43,61,155,606,736,285,59,43
47,74,179,692,770,331,65,46
45,67,159,643,779,302,67,46
43,66,153,552,744,328,80,46
44,69,159,546,730,337,77,46
45,67,156,533,694,317,80,45
39,52,112,430,747,319,74,40
37,53,124,498,706,335,69,36
39,55,123,513,715,315,55,36
43,59,140,568,717,339,55,38
43,61,155,606,736,285,59,43
47,74,179,692,770,331,65,46
45,67,159,643,779,302,67,46
43,66,153,552,744,328,80,46
44,69,159,546,730,337,77,46
45,67,156,533,694,317,80,45
39,52,112,430,747,319,74,40
37,53,124,498,706,335,69,36
39,55,123,513,715,315,55,36
43,59,140,568,717,339,55,38
44,59,137,544,715,333,54,37
43,62,140,546,623,288,55,37
43,60,128,496,600,252,58,38
42,61,133,501,701,275,58,40
39,58,124,471,731,244,54,39
37,56,132,544,717,265,49,38
42,58,143,646,744,289,52,41
42,56,137,641,721,318,46,38
49,66,151,685,600,311,48,43
47,64,143,707,613,292,49,42
48,66,154,781,589,326,52,44
43,61,146,731,576,342,50,40
46,62,148,712,580,321,52,44
39,50,130,650,658,329,51,40
40,51,129,640,622,370,49,42
40,50,106,531,639,324,49,38
40,48,96,508,726,296,50,39
42,47,109,586,732,307,49,36
41,48,114,614,747,290,49,33
41,48,125,603,703,243,49,32
48,66,154,781,589,326,52,44
43,61,146,731,576,342,50,40
46,62,148,712,580,321,52,44
39,50,130,650,658,329,51,40
40,51,129,640,622,370,49,42
40,50,106,531,639,324,49,38
40,48,96,508,726,296,50,39
42,47,109,586,732,307,49,36
41,48,114,614,747,290,49,33
41,48,125,603,703,243,49,32
43,56,154,623,720,268,51,35
41,58,169,619,617,278,48,35
35,59,180,652,607,266,51,38
38,64,179,674,548,257,49,40
38,63,169,671,566,312,54,39
35,53,152,727,547,287,50,39
36,50,134,734,610,281,50,37
38,51,112,660,604,300,59,40
36,50,124,675,558,313,60,39
41,64,142,674,553,272,61,46
42,73,148,588,564,267,62,49
47,78,172,603,473,251,68,54
48,80,179,626,527,224,60,52
49,78,174,678,580,248,61,53
42,67,159,676,667,242,64,47
41,64,175,685,643,246,64,44
37,58,155,661,740,252,59,40
36,55,151,643,728,282,65,39
36,55,145,548,801,258,63,39
37,55,148,594,765,271,55,37
42,73,148,588,564,267,62,49
47,78,172,603,473,251,68,54
48,80,179,626,527,224,60,52
49,78,174,678,580,248,61,53
42,67,159,676,667,242,64,47
41,64,175,685,643,246,64,44
37,58,155,661,740,252,59,40
